source,date,match_id,bout_num,map,team1,team2,team1_score,team2_score,winner,map_status,source_match_url,fetched_at
5e,2026-05-29,csgo_mc_2394317,1,Nuke,Alliance,Sharks,11,13,Sharks,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394317,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,csgo_mc_2394317,2,Anubis,Alliance,Sharks,13,16,Sharks,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394317,2026-06-01T09:27:40.610670+00:00
5e,2026-05-30,csgo_mc_2394320,1,Ancient,FaZe,Sharks,13,9,FaZe,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394320,2026-06-01T09:27:40.610670+00:00
5e,2026-05-30,csgo_mc_2394320,2,Mirage,FaZe,Sharks,13,8,FaZe,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394320,2026-06-01T09:27:40.610670+00:00
5e,2026-05-27,csgo_mc_2394196,1,Nuke,Heroic,NIP,7,13,NIP,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394196,2026-06-01T09:27:40.610670+00:00
5e,2026-05-27,csgo_mc_2394196,2,Mirage,Heroic,NIP,9,13,NIP,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394196,2026-06-01T09:27:40.610670+00:00
5e,2026-05-27,csgo_mc_2394930,1,Dust2,SemperFi,THUNDER dOWNUNDER,13,9,SemperFi,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394930,2026-06-01T09:27:40.610670+00:00
5e,2026-05-27,csgo_mc_2394930,2,Nuke,SemperFi,THUNDER dOWNUNDER,13,10,SemperFi,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394930,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,csgo_mc_2394198,1,Inferno,9z,Sharks,11,13,Sharks,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394198,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,csgo_mc_2394198,2,Overpass,9z,Sharks,16,13,9z,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394198,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,csgo_mc_2394198,3,Nuke,9z,Sharks,11,13,Sharks,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394198,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,csgo_mc_2394931,1,Inferno,TYLOO,SemperFi,13,9,TYLOO,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394931,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,csgo_mc_2394931,2,Mirage,TYLOO,SemperFi,13,7,TYLOO,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394931,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,csgo_mc_2394931,3,Nuke,TYLOO,SemperFi,13,8,TYLOO,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394931,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,csgo_mc_2394314,1,Inferno,Heroic,9z,14,16,9z,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394314,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,csgo_mc_2394314,2,Overpass,Heroic,9z,16,12,Heroic,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394314,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,csgo_mc_2394314,3,Dust2,Heroic,9z,11,13,9z,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394314,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,csgo_mc_2394316,1,Ancient,NIP,Sharks,13,7,NIP,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394316,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,csgo_mc_2394316,2,Nuke,NIP,Sharks,13,5,NIP,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394316,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,csgo_mc_2394938,1,Dust2,M80,Voca,13,5,M80,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394938,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,csgo_mc_2394938,2,Anubis,M80,Voca,16,14,M80,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394938,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,csgo_mc_2394938,3,Ancient,M80,Voca,3,13,Voca,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394938,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,csgo_mc_2394938,4,Mirage,M80,Voca,13,11,M80,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394938,2026-06-01T09:27:40.610670+00:00
5e,2026-05-26,csgo_mc_2394929,1,Mirage,TYLOO,Kaleido,13,1,TYLOO,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394929,2026-06-01T09:27:40.610670+00:00
5e,2026-05-26,csgo_mc_2394929,2,Inferno,TYLOO,Kaleido,13,9,TYLOO,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394929,2026-06-01T09:27:40.610670+00:00
5e,2026-05-27,csgo_mc_2394936,1,Ancient,M80,Iowa,13,5,M80,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394936,2026-06-01T09:27:40.610670+00:00
5e,2026-05-27,csgo_mc_2394936,2,Mirage,M80,Iowa,13,11,M80,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394936,2026-06-01T09:27:40.610670+00:00
5e,2026-05-23,csgo_mc_2394685,1,Mirage,Gaimin Gladiators,Inner Circle,5,13,Inner Circle,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394685,2026-06-01T09:27:40.610670+00:00
5e,2026-05-23,csgo_mc_2394685,2,Overpass,Gaimin Gladiators,Inner Circle,15,19,Inner Circle,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394685,2026-06-01T09:27:40.610670+00:00
5e,2026-05-23,csgo_mc_2394226,1,Mirage,MIBR,Legacy,12,16,Legacy,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394226,2026-06-01T09:27:40.610670+00:00
5e,2026-05-23,csgo_mc_2394226,2,Inferno,MIBR,Legacy,5,13,Legacy,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394226,2026-06-01T09:27:40.610670+00:00
5e,2026-05-23,csgo_mc_2394688,1,Ancient,Sharks,FOKUS,13,8,Sharks,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394688,2026-06-01T09:27:40.610670+00:00
5e,2026-05-23,csgo_mc_2394688,2,Nuke,Sharks,FOKUS,8,13,FOKUS,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394688,2026-06-01T09:27:40.610670+00:00
5e,2026-05-23,csgo_mc_2394688,3,Overpass,Sharks,FOKUS,11,13,FOKUS,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394688,2026-06-01T09:27:40.610670+00:00
5e,2026-05-23,csgo_mc_2394689,1,Mirage,Inner Circle,Sharks,9,13,Sharks,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394689,2026-06-01T09:27:40.610670+00:00
5e,2026-05-23,csgo_mc_2394689,2,Anubis,Inner Circle,Sharks,13,4,Inner Circle,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394689,2026-06-01T09:27:40.610670+00:00
5e,2026-05-23,csgo_mc_2394689,3,Overpass,Inner Circle,Sharks,16,14,Inner Circle,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394689,2026-06-01T09:27:40.610670+00:00
5e,2026-05-24,csgo_mc_2394227,1,Overpass,MOUZ,MIBR,13,3,MOUZ,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394227,2026-06-01T09:27:40.610670+00:00
5e,2026-05-24,csgo_mc_2394227,2,Ancient,MOUZ,MIBR,13,1,MOUZ,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394227,2026-06-01T09:27:40.610670+00:00
5e,2026-05-21,csgo_mc_2394211,1,Ancient,NRG,MOUZ,13,10,NRG,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394211,2026-06-01T09:27:40.610670+00:00
5e,2026-05-21,csgo_mc_2394211,2,Nuke,NRG,MOUZ,6,13,MOUZ,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394211,2026-06-01T09:27:40.610670+00:00
5e,2026-05-21,csgo_mc_2394211,3,Mirage,NRG,MOUZ,9,13,MOUZ,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394211,2026-06-01T09:27:40.610670+00:00
5e,2026-05-21,csgo_mc_2394213,1,Nuke,3DMAX,Liquid,11,13,Liquid,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394213,2026-06-01T09:27:40.610670+00:00
5e,2026-05-21,csgo_mc_2394213,2,Dust2,3DMAX,Liquid,13,9,3DMAX,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394213,2026-06-01T09:27:40.610670+00:00
5e,2026-05-21,csgo_mc_2394213,3,Inferno,3DMAX,Liquid,11,13,Liquid,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394213,2026-06-01T09:27:40.610670+00:00
5e,2026-05-21,csgo_mc_2394214,1,Dust2,LVG,NIP,13,8,LVG,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394214,2026-06-01T09:27:40.610670+00:00
5e,2026-05-21,csgo_mc_2394214,2,Nuke,LVG,NIP,9,13,NIP,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394214,2026-06-01T09:27:40.610670+00:00
5e,2026-05-21,csgo_mc_2394214,3,Ancient,LVG,NIP,13,3,LVG,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394214,2026-06-01T09:27:40.610670+00:00
5e,2026-05-21,csgo_mc_2394217,1,Mirage,Mongolz,Liquid,11,13,Liquid,completed,https://event.5eplay.com/csgo/match/csgo_mc_2394217,2026-06-01T09:27:40.610670+00:00
