source,date,start_time,match_id,event,event_id,event_grade,event_grade_label,event_status,stage,stage_detail,round,best_of,match_status,team1,team1_id,team1_rank,team2,team2_id,team2_rank,team1_match_score,team2_match_score,winner,team1_odds,team2_odds,map_count,source_match_url,fetched_at
5e,2026-05-29,2026-05-29 22:25:00+0800,csgo_mc_2394317,Stake 排位赛 第2季,csgo_tt_9054,3,A级赛事,past,淘汰赛,淘汰赛 败者组 1/4决赛,1/4决赛,3,completed,Alliance,hltv_team_12474,,Sharks,csgo_tm_8113,,0,2,Sharks,1.59,2.31,2,https://event.5eplay.com/csgo/match/csgo_mc_2394317,2026-06-01T09:27:40.610670+00:00
5e,2026-05-30,2026-05-30 02:30:00+0800,csgo_mc_2394320,Stake 排位赛 第2季,csgo_tt_9054,3,A级赛事,past,淘汰赛,淘汰赛 败者组 半决赛,半决赛,3,completed,FaZe,csgo_tm_6667,,Sharks,csgo_tm_8113,,2,0,FaZe,1.28,3.63,2,https://event.5eplay.com/csgo/match/csgo_mc_2394320,2026-06-01T09:27:40.610670+00:00
5e,2026-05-27,2026-05-27 20:50:00+0800,csgo_mc_2394196,Stake 排位赛 第2季,csgo_tt_9054,3,A级赛事,past,淘汰赛,淘汰赛 胜者组 首轮,首轮,3,completed,Heroic,csgo_tm_7175,,NIP,csgo_tm_4411,,0,2,NIP,1.62,2.26,2,https://event.5eplay.com/csgo/match/csgo_mc_2394196,2026-06-01T09:27:40.610670+00:00
5e,2026-05-27,2026-05-27 21:00:00+0800,csgo_mc_2394930,ESL 挑战者联赛 S51 亚洲 决赛,csgo_tt_9186,4,B级赛事,past,淘汰赛,淘汰赛 半决赛,半决赛,3,completed,SemperFi,hltv_team_12901,,THUNDER dOWNUNDER,hltv_team_13486,,2,0,SemperFi,2.75,1.43,2,https://event.5eplay.com/csgo/match/csgo_mc_2394930,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,2026-05-28 00:45:00+0800,csgo_mc_2394198,Stake 排位赛 第2季,csgo_tt_9054,3,A级赛事,past,淘汰赛,淘汰赛 胜者组 首轮,首轮,3,completed,9z,csgo_tm_9996,,Sharks,csgo_tm_8113,,1,2,Sharks,1.34,3.22,3,https://event.5eplay.com/csgo/match/csgo_mc_2394198,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,2026-05-28 21:00:00+0800,csgo_mc_2394931,ESL 挑战者联赛 S51 亚洲 决赛,csgo_tt_9186,4,B级赛事,past,淘汰赛,淘汰赛 决赛,决赛,5,completed,TYLOO,csgo_tm_4863,,SemperFi,hltv_team_12901,,3,0,TYLOO,1.09,7.66,3,https://event.5eplay.com/csgo/match/csgo_mc_2394931,2026-06-01T09:27:40.610670+00:00
5e,2026-05-28,2026-05-28 21:45:00+0800,csgo_mc_2394314,Stake 排位赛 第2季,csgo_tt_9054,3,A级赛事,past,淘汰赛,淘汰赛 败者组 首轮,首轮,3,completed,Heroic,csgo_tm_7175,,9z,csgo_tm_9996,,1,2,9z,2.14,1.68,3,https://event.5eplay.com/csgo/match/csgo_mc_2394314,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,2026-05-29 04:45:00+0800,csgo_mc_2394316,Stake 排位赛 第2季,csgo_tt_9054,3,A级赛事,past,淘汰赛,淘汰赛 胜者组 半决赛,半决赛,3,completed,NIP,csgo_tm_4411,,Sharks,csgo_tm_8113,,2,0,NIP,1.52,2.47,2,https://event.5eplay.com/csgo/match/csgo_mc_2394316,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,2026-05-29 09:00:00+0800,csgo_mc_2394938,ESL 挑战者联赛 S51 北美 决赛,csgo_tt_9185,4,B级赛事,past,淘汰赛,淘汰赛 决赛,决赛,5,completed,M80,hltv_team_12376,,Voca,hltv_team_13499,,3,1,M80,1.22,4.22,4,https://event.5eplay.com/csgo/match/csgo_mc_2394938,2026-06-01T09:27:40.610670+00:00
5e,2026-05-26,2026-05-26 21:00:00+0800,csgo_mc_2394929,ESL 挑战者联赛 S51 亚洲 决赛,csgo_tt_9186,4,B级赛事,past,淘汰赛,淘汰赛 半决赛,半决赛,3,completed,TYLOO,csgo_tm_4863,,Kaleido,hltv_team_13331,,2,0,TYLOO,1.14,5.76,2,https://event.5eplay.com/csgo/match/csgo_mc_2394929,2026-06-01T09:27:40.610670+00:00
