date,event,event_tier,status,team1,team2,winner,best_of,map,team1_rank,team2_rank,team1_rmr_points,team2_rmr_points,team1_major_best_placement,team2_major_best_placement,team1_wins,team1_losses,team2_wins,team2_losses,version_tag,source,source_match_url,source_match_id,source_event_grade_label
2026-05-29,BC Game 大师赛 欧洲 第二季 S2,A,completed,100 Thieves,Oramond,100 Thieves,3,dust2,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394518,csgo_mc_2394518,C级赛事
2026-05-29,BC Game 大师赛 欧洲 第二季 S2,A,completed,100 Thieves,Oramond,100 Thieves,3,ancient,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394518,csgo_mc_2394518,C级赛事
2026-05-29,CCT 2026 欧洲系列赛 第3季,A,completed,Lavked,HEROIC Academy,Lavked,3,anubis,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394569,csgo_mc_2394569,C级赛事
2026-05-29,CCT 2026 欧洲系列赛 第3季,A,completed,Lavked,HEROIC Academy,HEROIC Academy,3,mirage,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394569,csgo_mc_2394569,C级赛事
2026-05-29,CCT 2026 欧洲系列赛 第3季,A,completed,Lavked,HEROIC Academy,Lavked,3,ancient,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394569,csgo_mc_2394569,C级赛事
2026-05-29,NODWIN Clutch 系列赛 第9季 封闭预选,A,completed,INOX Division,UNiTY,UNiTY,3,anubis,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2395025,csgo_mc_2395025,C级赛事
2026-05-29,NODWIN Clutch 系列赛 第9季 封闭预选,A,completed,INOX Division,UNiTY,UNiTY,3,overpass,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2395025,csgo_mc_2395025,C级赛事
2026-05-29,TP 世界锦标赛 2026 欧洲 第1赛季,A,completed,CYBERSHOKE,HyperSpirit,CYBERSHOKE,3,anubis,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394721,csgo_mc_2394721,B级赛事
2026-05-29,TP 世界锦标赛 2026 欧洲 第1赛季,A,completed,CYBERSHOKE,HyperSpirit,CYBERSHOKE,3,dust2,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394721,csgo_mc_2394721,B级赛事
2026-05-29,Stake 排位赛 第2季,A,completed,Alliance,Sharks,Sharks,3,nuke,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394317,csgo_mc_2394317,A级赛事
2026-05-29,Stake 排位赛 第2季,A,completed,Alliance,Sharks,Sharks,3,anubis,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394317,csgo_mc_2394317,A级赛事
2026-05-29,Elisa 芬兰公开赛 第13赛季,A,completed,ENCE,Kuusamo,ENCE,3,ancient,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394961,csgo_mc_2394961,C级赛事
2026-05-29,Elisa 芬兰公开赛 第13赛季,A,completed,ENCE,Kuusamo,ENCE,3,mirage,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394961,csgo_mc_2394961,C级赛事
2026-05-29,CCT 2026 欧洲系列赛 第2季,A,completed,Gentle Mates,EF,Gentle Mates,3,overpass,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394438,csgo_mc_2394438,C级赛事
2026-05-29,CCT 2026 欧洲系列赛 第2季,A,completed,Gentle Mates,EF,EF,3,nuke,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394438,csgo_mc_2394438,C级赛事
2026-05-29,CCT 2026 欧洲系列赛 第2季,A,completed,Gentle Mates,EF,Gentle Mates,3,anubis,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394438,csgo_mc_2394438,C级赛事
2026-05-30,Stake 排位赛 第2季,A,completed,magic,NIP,magic,3,ancient,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394319,csgo_mc_2394319,A级赛事
2026-05-30,Stake 排位赛 第2季,A,completed,magic,NIP,magic,3,mirage,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394319,csgo_mc_2394319,A级赛事
2026-05-30,BC Game 大师赛 欧洲 第二季 S2,A,completed,Tricked,AM,Tricked,3,mirage,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394519,csgo_mc_2394519,C级赛事
2026-05-30,BC Game 大师赛 欧洲 第二季 S2,A,completed,Tricked,AM,Tricked,3,nuke,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394519,csgo_mc_2394519,C级赛事
2026-05-30,TP 世界锦标赛 2026 欧洲 第1赛季,A,completed,TDK,TNC,TDK,3,dust2,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394722,csgo_mc_2394722,B级赛事
2026-05-30,TP 世界锦标赛 2026 欧洲 第1赛季,A,completed,TDK,TNC,TDK,3,ancient,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394722,csgo_mc_2394722,B级赛事
2026-05-30,BB Circuit X 累西腓 2026,A,completed,BESTIA,Bounty Hunters,Bounty Hunters,3,dust2,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394947,csgo_mc_2394947,C级赛事
2026-05-30,BB Circuit X 累西腓 2026,A,completed,BESTIA,Bounty Hunters,BESTIA,3,nuke,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394947,csgo_mc_2394947,C级赛事
2026-05-30,BB Circuit X 累西腓 2026,A,completed,BESTIA,Bounty Hunters,BESTIA,3,mirage,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394947,csgo_mc_2394947,C级赛事
2026-05-30,Elisa 芬兰公开赛 第13赛季,A,completed,cirahvi,boyband,boyband,3,overpass,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394962,csgo_mc_2394962,C级赛事
2026-05-30,Elisa 芬兰公开赛 第13赛季,A,completed,cirahvi,boyband,boyband,3,mirage,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2394962,csgo_mc_2394962,C级赛事
2026-05-30,NODWIN Clutch 系列赛 第9季 封闭预选,A,completed,Y.NIP,Phantom,Phantom,3,overpass,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2395026,csgo_mc_2395026,C级赛事
2026-05-30,NODWIN Clutch 系列赛 第9季 封闭预选,A,completed,Y.NIP,Phantom,Y.NIP,3,nuke,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2395026,csgo_mc_2395026,C级赛事
2026-05-30,NODWIN Clutch 系列赛 第9季 封闭预选,A,completed,Y.NIP,Phantom,Y.NIP,3,mirage,80,80,0,0,32,32,0,0,0,0,cs2_2026-06-01,5e,https://event.5eplay.com/csgo/match/csgo_mc_2395026,csgo_mc_2395026,C级赛事
