team,official_name,start_stage,seed,rank,rmr_points,source_url
The MongolZ,The MongolZ,stage3,1,1,1935,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
FURIA,FURIA,stage3,2,2,1767,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
MOUZ,MOUZ,stage3,3,3,1763,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Falcons,Team Falcons,stage3,4,4,1752,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Vitality,Team Vitality,stage3,5,5,1749,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Aurora,Aurora Gaming,stage3,6,6,1730,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
PARIVISION,PARIVISION,stage3,7,7,1706,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Natus Vincere,Natus Vincere,stage3,8,8,1689,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Spirit,Team Spirit,stage2,9,9,1647,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Astralis,Astralis,stage2,10,10,1624,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
G2,G2 Esports,stage2,11,11,1617,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
FUT,FUT Esports,stage2,12,12,1579,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Monte,Monte,stage2,13,13,1553,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
9z,9z Team,stage2,14,14,1536,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
paiN,paiN Gaming,stage2,15,15,1499,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Legacy,Legacy,stage2,16,16,1459,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
GamerLegion,GamerLegion,stage1,17,17,1439,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
BIG,BIG,stage1,18,18,1415,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
BetBoom,BetBoom Team,stage1,19,19,1407,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
B8,B8,stage1,20,20,1405,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
HEROIC,HEROIC,stage1,21,21,1401,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
SINNERS,SINNERS Esports,stage1,22,22,1395,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
MIBR,MIBR,stage1,23,23,1392,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Lynn Vision,Lynn Vision Gaming,stage1,24,24,1353,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
TYLOO,TYLOO,stage1,25,25,1330,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Liquid,Team Liquid,stage1,26,26,1306,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
M80,M80,stage1,27,27,1266,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
FlyQuest,FlyQuest,stage1,28,28,1261,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
NRG,NRG,stage1,29,29,1237,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Sharks,Sharks Esports,stage1,30,30,1234,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
Gaimin Gladiators,Gaimin Gladiators,stage1,31,31,1229,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
THUNDER dOWNUNDER,THUNDER dOWNUNDER,stage1,32,32,1214,https://bo3.gg/news/official-all-participants-for-the-iem-cologne-major-2026-have-been-confirmed
