team,seed,rank,rmr_points,current_hltv_rank,current_vrs_points,strength,qualification,snapshot_date,source_url,feature_source,fivee_status,fivee_source_team_url,rating,kd,recent_winrate_10,bo1_winrate_6m,bo3_winrate_6m,map_winrate,fivee_map_count
GamerLegion,1,11,1439,11,1439,0.8750,VRS (Europe),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,matched,https://csgo.5eplay.com/data/team/gamerlegion,1.02,1.01,0.52,,,0.524,9
B8,2,16,1405,16,1405,0.8125,VRS (Europe),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,matched,https://csgo.5eplay.com/data/team/b8,0.97,1,0.42,,,0.4237,6
BetBoom,3,17,1407,17,1407,0.8000,VRS (Europe),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,missing,,,,,,,,
MIBR,4,19,1392,19,1392,0.7750,VRS (Americas),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,matched,https://csgo.5eplay.com/data/team/mibr,1.04,1.07,0.55,,,0.5465,10
HEROIC,5,23,1401,23,1401,0.7250,VRS (Europe),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,matched,https://csgo.5eplay.com/data/team/heroic,1.02,1.04,0.57,,,0.5692,10
Lynn Vision,6,24,1353,24,1444,0.7125,VRS (Asia),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,hltv_match_page_2394777,matched,https://csgo.5eplay.com/data/team/lynn-vision,0.99,1.01,0.51,,,0.5187,10
BIG,7,27,1415,28,1421,0.6625,VRS (Europe),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,hltv_match_page_2394776,matched,https://csgo.5eplay.com/data/team/big,1.03,1.02,0.55,,,0.5489,10
TYLOO,8,29,1330,29,1330,0.6500,VRS (Asia),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,matched,https://csgo.5eplay.com/data/team/tyloo,1.06,1.11,0.66,,,0.6612,10
SINNERS,9,30,1395,30,1395,0.6375,VRS (Europe),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,matched,https://csgo.5eplay.com/data/team/sinners,1.04,1.05,0.57,,,0.5662,8
M80,10,31,1266,33,1388,0.6000,VRS (Americas),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,hltv_match_page_2394777,missing,,,,,,,,
Liquid,11,42,1306,45,1307,0.4500,VRS (Americas),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,hltv_match_page_2394776,matched,https://csgo.5eplay.com/data/team/liquid,1.04,1.06,0.6,,,0.5959,10
Sharks,12,45,1234,45,1234,0.4500,VRS (Americas),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,matched,https://csgo.5eplay.com/data/team/sharks,1.03,1.03,0.56,,,0.56,10
NRG,13,49,1237,49,1237,0.4000,VRS (Americas),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,matched,https://csgo.5eplay.com/data/team/nrg,1.01,1.05,0.58,,,0.5783,9
Gaimin Gladiators,14,53,1229,53,1229,0.3500,VRS (Americas),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,matched,https://csgo.5eplay.com/data/team/gaimin-gladiators,1.01,1.07,0.61,,,0.6063,7
THUNDER dOWNUNDER,15,57,1214,57,1214,0.3000,VRS (Asia),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,missing,,,,,,,,
FlyQuest,16,78,1261,78,1261,0.0500,VRS (Asia),2026-06-01,https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1,cologne2026_stage1_teams_snapshot,missing,,,,,,,,
