source,date,start_time,match_id,event,event_id,event_grade,event_grade_label,event_status,stage,stage_detail,round,best_of,match_status,team1,team1_id,team1_rank,team2,team2_id,team2_rank,team1_match_score,team2_match_score,winner,team1_odds,team2_odds,map_count,source_match_url,fetched_at
5e,2026-05-29,2026-05-29 22:00:00+0800,csgo_mc_2394518,BC Game 大师赛 欧洲 第二季 S2,csgo_tt_9178,5,C级赛事,past,淘汰赛,淘汰赛 十六强,十六强,3,completed,100 Thieves,csgo_tm_8474,,Oramond,hltv_team_13470,,2,0,100 Thieves,,,2,https://event.5eplay.com/csgo/match/csgo_mc_2394518,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,2026-05-29 22:00:00+0800,csgo_mc_2394569,CCT 2026 欧洲系列赛 第3季,csgo_tt_9195,5,C级赛事,live,小组赛,小组赛 第三轮,第三轮,3,completed,Lavked,hltv_team_12609,,HEROIC Academy,hltv_team_13233,,2,1,Lavked,1.21,4.44,3,https://event.5eplay.com/csgo/match/csgo_mc_2394569,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,2026-05-29 22:00:00+0800,csgo_mc_2395025,NODWIN Clutch 系列赛 第9季 封闭预选,csgo_tt_9199,5,C级赛事,past,小组赛,小组赛 胜者组 决赛,决赛,3,completed,INOX Division,hltv_team_13814,,UNiTY,hltv_team_12267,,0,2,UNiTY,1.31,3.43,2,https://event.5eplay.com/csgo/match/csgo_mc_2395025,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,2026-05-29 22:10:00+0800,csgo_mc_2394721,TP 世界锦标赛 2026 欧洲 第1赛季,csgo_tt_9171,4,B级赛事,past,淘汰赛,淘汰赛 十六强,十六强,3,completed,CYBERSHOKE,hltv_team_12380,,HyperSpirit,hltv_team_13012,,2,0,CYBERSHOKE,1.33,3.27,2,https://event.5eplay.com/csgo/match/csgo_mc_2394721,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,2026-05-29 22:25:00+0800,csgo_mc_2394317,Stake 排位赛 第2季,csgo_tt_9054,3,A级赛事,past,淘汰赛,淘汰赛 败者组 1/4决赛,1/4决赛,3,completed,Alliance,hltv_team_12474,,Sharks,csgo_tm_8113,,0,2,Sharks,1.59,2.31,2,https://event.5eplay.com/csgo/match/csgo_mc_2394317,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,2026-05-29 22:30:00+0800,csgo_mc_2394961,Elisa 芬兰公开赛 第13赛季,csgo_tt_9209,5,C级赛事,past,淘汰赛,淘汰赛 胜者组 半决赛,半决赛,3,completed,ENCE,csgo_tm_4869,,Kuusamo,hltv_team_13745,,2,0,ENCE,1.12,6.26,2,https://event.5eplay.com/csgo/match/csgo_mc_2394961,2026-06-01T09:27:40.610670+00:00
5e,2026-05-29,2026-05-29 22:55:00+0800,csgo_mc_2394438,CCT 2026 欧洲系列赛 第2季,csgo_tt_9189,5,C级赛事,past,淘汰赛,淘汰赛 八强,八强,3,completed,Gentle Mates,hltv_team_13404,,EF,csgo_tm_11251,,2,1,Gentle Mates,1.31,3.43,3,https://event.5eplay.com/csgo/match/csgo_mc_2394438,2026-06-01T09:27:40.610670+00:00
5e,2026-05-30,2026-05-30 00:45:00+0800,csgo_mc_2394319,Stake 排位赛 第2季,csgo_tt_9054,3,A级赛事,past,淘汰赛,淘汰赛 胜者组 决赛,决赛,3,completed,magic,hltv_team_13592,,NIP,csgo_tm_4411,,2,0,magic,2.11,1.71,2,https://event.5eplay.com/csgo/match/csgo_mc_2394319,2026-06-01T09:27:40.610670+00:00
5e,2026-05-30,2026-05-30 01:00:00+0800,csgo_mc_2394519,BC Game 大师赛 欧洲 第二季 S2,csgo_tt_9178,5,C级赛事,past,淘汰赛,淘汰赛 十六强,十六强,3,completed,Tricked,csgo_tm_4602,,AM,hltv_team_13237,,2,0,Tricked,1.63,2.23,2,https://event.5eplay.com/csgo/match/csgo_mc_2394519,2026-06-01T09:27:40.610670+00:00
5e,2026-05-30,2026-05-30 01:00:00+0800,csgo_mc_2394722,TP 世界锦标赛 2026 欧洲 第1赛季,csgo_tt_9171,4,B级赛事,past,淘汰赛,淘汰赛 十六强,十六强,3,completed,TDK,hltv_team_13644,,TNC,hltv_team_13403,,2,0,TDK,1.2,4.57,2,https://event.5eplay.com/csgo/match/csgo_mc_2394722,2026-06-01T09:27:40.610670+00:00
5e,2026-05-30,2026-05-30 01:00:00+0800,csgo_mc_2394947,BB Circuit X 累西腓 2026,csgo_tt_9169,5,C级赛事,past,淘汰赛,淘汰赛 1/4决赛,1/4决赛,3,completed,BESTIA,hltv_team_12144,,Bounty Hunters,hltv_team_12776,,2,1,BESTIA,1.34,3.22,3,https://event.5eplay.com/csgo/match/csgo_mc_2394947,2026-06-01T09:27:40.610670+00:00
