source,team,map,source_team_url,wins,losses,draws,winrate,rounds,opening_winrate,opening_denied_winrate,last_big_win_score,last_big_win_opponent,last_big_loss_score,last_big_loss_opponent,fetched_at
5e,GamerLegion,de_mirage,https://csgo.5eplay.com/data/team/gamerlegion,108,71,0,0.6,4824,0.751,0.283,16:0,FORZE,3:16,GODSENT,2026-06-01T09:00:40.886344+00:00
5e,GamerLegion,de_overpass,https://csgo.5eplay.com/data/team/gamerlegion,91,73,0,0.55,4448,0.738,0.289,16:0,Heroic,1:16,Dignitas,2026-06-01T09:00:40.886344+00:00
5e,GamerLegion,de_inferno,https://csgo.5eplay.com/data/team/gamerlegion,76,63,0,0.55,3712,0.711,0.295,16:3,SpiritAcademy,1:16,Sprout,2026-06-01T09:00:40.886344+00:00
5e,GamerLegion,de_nuke,https://csgo.5eplay.com/data/team/gamerlegion,51,72,0,0.41,3352,0.707,0.259,16:4,Tricked,0:16,MOUZNXT,2026-06-01T09:00:40.886344+00:00
5e,GamerLegion,de_vertigo,https://csgo.5eplay.com/data/team/gamerlegion,46,36,0,0.56,2182,0.72,0.294,16:4,mYinsanity,3:16,DBLPONEY,2026-06-01T09:00:40.886344+00:00
5e,GamerLegion,de_ancient,https://csgo.5eplay.com/data/team/gamerlegion,34,33,0,0.51,1834,0.739,0.285,16:1,Forward,3:16,INDEIRAE,2026-06-01T09:00:40.886344+00:00
5e,GamerLegion,de_dust2,https://csgo.5eplay.com/data/team/gamerlegion,33,32,0,0.51,1793,0.734,0.288,16:1,ex-Epsilon,4:16,Winstrike,2026-06-01T09:00:40.886344+00:00
5e,GamerLegion,de_train,https://csgo.5eplay.com/data/team/gamerlegion,19,36,0,0.35,1565,0.698,0.261,16:2,pharsyde,2:16,WislaKrakow,2026-06-01T09:00:40.886344+00:00
5e,GamerLegion,de_cache,https://csgo.5eplay.com/data/team/gamerlegion,1,1,0,0.5,47,0.714,0.269,16:9,Sprout,6:16,Valiance,2026-06-01T09:00:40.886344+00:00
5e,B8,de_nuke,https://csgo.5eplay.com/data/team/b8,8,7,0,0.53,347,0.727,0.257,16:4,OFFSET,2:16,HONORIS,2026-06-01T09:00:40.886344+00:00
