source,team,player,slug,source_player_url,source_team_url,fetched_at
5e,GamerLegion,acoR,acor,https://csgo.5eplay.com/data/player/acor,https://csgo.5eplay.com/data/team/gamerlegion,2026-06-01T09:09:14.691238+00:00
5e,GamerLegion,Keoz,keoz,https://csgo.5eplay.com/data/player/keoz,https://csgo.5eplay.com/data/team/gamerlegion,2026-06-01T09:09:14.691238+00:00
5e,GamerLegion,iM,im,https://csgo.5eplay.com/data/player/im,https://csgo.5eplay.com/data/team/gamerlegion,2026-06-01T09:09:14.691238+00:00
5e,GamerLegion,siuhy,siuhy,https://csgo.5eplay.com/data/player/siuhy,https://csgo.5eplay.com/data/team/gamerlegion,2026-06-01T09:09:14.691238+00:00
5e,GamerLegion,isak,isak,https://csgo.5eplay.com/data/player/isak,https://csgo.5eplay.com/data/team/gamerlegion,2026-06-01T09:09:14.691238+00:00
5e,B8,r1nkle,r1nkle,https://csgo.5eplay.com/data/player/r1nkle,https://csgo.5eplay.com/data/team/b8,2026-06-01T09:09:14.691238+00:00
5e,B8,amster,amster,https://csgo.5eplay.com/data/player/amster,https://csgo.5eplay.com/data/team/b8,2026-06-01T09:09:14.691238+00:00
5e,B8,alex666,alex666,https://csgo.5eplay.com/data/player/alex666,https://csgo.5eplay.com/data/team/b8,2026-06-01T09:09:14.691238+00:00
5e,B8,OWNER,owner,https://csgo.5eplay.com/data/player/owner,https://csgo.5eplay.com/data/team/b8,2026-06-01T09:09:14.691238+00:00
5e,B8,cptkurtka023,cptkurtka023,https://csgo.5eplay.com/data/player/cptkurtka023,https://csgo.5eplay.com/data/team/b8,2026-06-01T09:09:14.691238+00:00
5e,MIBR,HEN1,hen1,https://csgo.5eplay.com/data/player/hen1,https://csgo.5eplay.com/data/team/mibr,2026-06-01T09:09:14.691238+00:00
5e,MIBR,exit,exit,https://csgo.5eplay.com/data/player/exit,https://csgo.5eplay.com/data/team/mibr,2026-06-01T09:09:14.691238+00:00
5e,MIBR,Tuurtle,tuurtle,https://csgo.5eplay.com/data/player/tuurtle,https://csgo.5eplay.com/data/team/mibr,2026-06-01T09:09:14.691238+00:00
5e,MIBR,brnz4n,brnz4n,https://csgo.5eplay.com/data/player/brnz4n,https://csgo.5eplay.com/data/team/mibr,2026-06-01T09:09:14.691238+00:00
5e,MIBR,insani,insani,https://csgo.5eplay.com/data/player/insani,https://csgo.5eplay.com/data/team/mibr,2026-06-01T09:09:14.691238+00:00
5e,Heroic,cadiaN,cadian,https://csgo.5eplay.com/data/player/cadian,https://csgo.5eplay.com/data/team/heroic,2026-06-01T09:09:14.691238+00:00
5e,Heroic,stavn,stavn,https://csgo.5eplay.com/data/player/stavn,https://csgo.5eplay.com/data/team/heroic,2026-06-01T09:09:14.691238+00:00
